# vencprobe shm=mabur_f slots=8 slot_data=393216 low=3000 high=10000 dwell_ms=2500 cycles=0 duration_ms=600000
# f,mono_us,write_idx,len,pts_us,flags,enc_us
# c,mono_us_before,mono_us_after,kbps,ok
# s,mono_us,req_bitrate_kbps,qp  (25 ms poll; a change we did not command is RcAgent; qp = encoder startQual of the last frame, -1 if the daemon predates it)
f,2447162682,2640,33893,2447171395,2,7142
s,2447171910,16000,0
f,2447180348,2641,33900,2447188211,6,8009
f,2447196294,2642,33889,2447205021,2,7176
s,2447199867,16000,0
f,2447213102,2643,33350,2447221805,6,7196
s,2447226148,16000,0
f,2447230663,2644,33745,2447238653,2,7908
f,2447246635,2645,32570,2447255464,6,7071
s,2447251935,16000,0
f,2447263593,2646,34449,2447272280,2,7217
s,2447277900,-1,-1
f,2447281295,2647,34606,2447289099,6,8022
f,2447297214,2648,24187,2447305913,2,7197
s,2447303534,-1,-1
f,2447314051,2649,32770,2447322730,6,7268
s,2447329509,16000,0
f,2447331922,2650,33112,2447339551,2,8035
f,2447347610,2651,32437,2447356363,6,7148
s,2447355372,16000,0
f,2447365127,2652,34397,2447373180,2,7906
s,2447381256,16000,0
f,2447381448,2653,33835,2447389991,6,7268
f,2447398922,2654,34504,2447406818,2,7982
s,2447406946,16000,0
f,2447414797,2655,33772,2447423625,6,7076
f,2447431648,2656,23528,2447440437,2,7171
s,2447432538,-1,-1
f,2447448557,2657,32587,2447457255,6,7280
s,2447459124,-1,-1
f,2447465351,2658,33398,2447474088,2,7221
f,2447482826,2659,32734,2447490898,6,7929
s,2447484899,16000,0
f,2447499752,2660,34045,2447507699,2,7979
s,2447510895,16000,0
f,2447515696,2661,33059,2447524519,6,7075
f,2447532602,2662,34450,2447541333,2,7179
s,2447536685,-1,-1
f,2447549488,2663,33765,2447558156,6,7144
s,2447563108,16000,0
f,2447566404,2664,33980,2447574965,2,7342
f,2447583737,2665,33023,2447591782,6,7924
s,2447588794,16000,0
f,2447600709,2666,33621,2447608596,2,8055
s,2447614789,16000,0
f,2447616814,2667,33165,2447625413,6,7138
f,2447633651,2668,34724,2447642230,2,7326
s,2447641513,16000,0
f,2447651107,2669,33994,2447659043,6,7971
s,2447667357,-1,-1
f,2447667549,2670,24362,2447675861,2,7158
f,2447683986,2671,33285,2447692677,6,7177
s,2447693015,16000,0
f,2447700864,2672,32934,2447709495,2,7284
f,2447717490,2673,31775,2447726320,6,7124
s,2447718609,-1,-1
f,2447734583,2674,34395,2447743126,2,7347
s,2447744827,-1,-1
f,2447752003,2675,33409,2447759939,6,7967
f,2447768829,2676,34187,2447776758,2,7971
s,2447772551,16000,0
f,2447784771,2677,33618,2447793574,6,7109
s,2447799703,16000,0
f,2447802083,2678,36428,2447810388,2,7483
f,2447819252,2679,36624,2447827202,6,7952
s,2447826976,16000,0
f,2447835411,2680,27194,2447844023,2,7138
f,2447852092,2681,26686,2447860835,6,7165
s,2447853833,16000,0
f,2447869099,2682,27420,2447877653,2,7296
s,2447880707,16000,0
f,2447885767,2683,27912,2447894472,6,7191
f,2447902730,2684,32450,2447911284,2,7363
s,2447906619,16000,0
f,2447919184,2685,29748,2447928100,6,6992
s,2447933811,16000,0
f,2447936172,2686,26718,2447944913,2,7179
f,2447953100,2687,24286,2447961730,6,7245
s,2447960176,16000,0
f,2447969821,2688,24448,2447978546,2,7198
s,2447986119,16000,0
f,2447986686,2689,23257,2447995362,6,7225
f,2448003560,2690,35475,2448012183,2,7297
s,2448012028,16000,0
f,2448020092,2691,24686,2448028996,6,6967
s,2448038348,16000,0
f,2448038585,2692,34746,2448045819,2,8200
f,2448053950,2693,34146,2448062632,6,7161
s,2448066002,16000,0
f,2448071498,2694,34286,2448079449,2,7971
f,2448087476,2695,33083,2448096231,6,7109
s,2448091905,16000,0
f,2448104540,2696,34344,2448113078,2,7359
s,2448118023,16000,0
f,2448121048,2697,33132,2448129889,6,7091
f,2448138688,2698,34343,2448146715,2,7987
s,2448143756,16000,0
f,2448154696,2699,33391,2448163519,6,7085
s,2448169864,16000,0
f,2448171597,2700,34272,2448180336,2,7214
f,2448188503,2701,33652,2448197157,6,7251
s,2448195607,16000,0
f,2448206030,2702,34426,2448213981,2,8019
s,2448221387,16000,0
f,2448221965,2703,33705,2448230783,6,7132
f,2448238906,2704,33999,2448247603,2,7214
s,2448247201,16000,0
f,2448255568,2705,33297,2448264424,6,7053
s,2448273296,16000,0
f,2448273491,2706,35342,2448281234,2,7201
f,2448290163,2707,34330,2448298054,6,7946
s,2448300824,16000,0
f,2448306194,2708,34346,2448314867,2,7222
f,2448323731,2709,33269,2448331654,6,7981
s,2448328352,16000,0
f,2448339765,2710,33621,2448348498,2,7181
s,2448354596,16000,0
f,2448356718,2711,32975,2448365316,6,7305
f,2448374256,2712,34893,2448382127,2,8020
s,2448380456,-1,-1
f,2448390405,2713,34042,2448398950,6,7281
s,2448406236,16000,0
f,2448407740,2714,35084,2448415760,2,7826
f,2448424673,2715,33652,2448432588,6,7941
s,2448432319,-1,-1
f,2448441612,2716,33613,2448449386,2,8146
f,2448457490,2717,32704,2448466216,6,7127
s,2448460770,16000,0
f,2448474359,2718,34216,2448483055,2,7211
s,2448487038,16000,0
f,2448491899,2719,32790,2448499843,6,7946
f,2448507903,2720,34230,2448516656,2,7153
s,2448512834,16000,0
f,2448524831,2721,33010,2448533471,6,7256
s,2448539122,16000,0
f,2448542592,2722,33962,2448550291,2,8153
f,2448558603,2723,33642,2448567115,6,7411
s,2448564769,-1,-1
f,2448576003,2724,34379,2448583923,2,7969
s,2448590716,16000,0
